,name,price,description,size,abv,list_of_flavors,style_list,avg_rating,num_rating,subtitle,current_date,product_link
59,"Green Spot
Chateau Montelena Finish",£60.45,"The Mitchell's Spot whiskeys have always had an affinity for wine, and this Green Spot shows that off even further. Rich and spicy triple-distilled pot-still whiskey from Midleton is initially aged in bourbon and sherry casks before being finished for 12 months in casks that used to hold rich red Zinfandel wine from the famed Chateau Montelena in California's Napa Valley. Montelena was bought by Irishman Jim Barrett in the 1970s, and this release celebrates the shared heritage of his wine and Midleton's fine whiskey. It's rich and spicy, with layers of marzipan and toasted oak on top of the pot-still fruit and weightiness.",70cl,46%,None,None,4,3,Single Pot Still Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/45889/green-spot-chateau-montelena-finish
60,"Green Spot 1991

26 Year Old Marsala Cask TWE Exclusive","£1,500","A very special bottling, selected by and exclusive to The Whisky Exchange: a single cask of 26-year-old Green Spot pot still whiskey, distilled at Midleton and filled into cask on 18 October 1991. It was initially matured in bourbon and sherry casks, before the spirit was reracked into a single Marsala butt for further maturation. The result brings together the fresh fruit flavours of bourbon-cask maturation with the richer dried fruit notes you get from sherry casks, and stirs them both together with fragrant Marsala and classic Irish pot-still fruit and spice.

Tasting Notes (1)",70cl,55.7%,None,None,5,4,Single Pot Still Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/44657/green-spot-1991-26-year-old-marsala-cask-twe-exclusive
61,"Green Spot 2006

12 Year Old Bourbon Cask TWE Exclusive",£700,"Specially selected by and exclusively available from The Whisky Exchange, this single-cask shows why we love Green Spot. Bonded on 27 February 2006 and matured in a single first-fill bourbon cask, it's zingy, fruity and packed with rich pot-still character.

Tasting Notes (1)",70cl,59%,None,None,no rating,no rating,Single Pot Still Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/44656/green-spot-2006-12-year-old-bourbon-cask-twe-exclusive
62,Hinch Pot Still,£42.25,"A herbaceous and biscuity triple distilled single pot still Irish whiskey from Hinch. The palate offers notes of tart fruits; plums and blackberries, with hints of zesty oranges and cinnamon spice.",70cl,43%,"['Cinnamon', 'Orange ', 'Blackberry', 'Biscuits', 'Plums']","['Body', 'Richness', 'Smoke', 'Sweetness']",4,1,"Single Pot Still Irish Whiskey
Distillery Bottling",08/09/2022,https://www.thewhiskyexchange.com/p/54412/hinch-pot-still
63,Hinch Small Batch Bourbon Cask Irish Whiskey,£35.75,"A small batch Irish whiskey from Hinch that has been matured in ex-bourbon casks, this has notes of creamy vanilla, honey-nut cornflakes and lively citrus throughout the palate.",70cl,43%,"['Vanilla ', 'Cinnamon', 'Lemon', 'Hazelnut', 'Honey ', 'Cream']","['Body', 'Richness', 'Smoke', 'Sweetness']",4.5,3,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/49940/hinch-small-batch-bourbon-cask-irish-whiskey
64,Hinch Peated Single Malt Whiskey,£39.25,"A heavily-peated single malt Irish whiskey from Hinch distillery that was triple distilled and matured in specially-selected oak casks. Aromas of sweet tar, rich smoke, woody spice and malt fill the nose, complemented by notes of aromatic peat, raisins, sultanas, liquorice and rich smoke throughout the palate.",70cl,43%,"['Liquorice root', 'Raisins ', 'Tar', 'Smoke', 'Malt', 'Oak']","['Body', 'Richness', 'Smoke', 'Sweetness']",no rating,no rating,Irish Single Malt Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/66463/hinch-peated-single-malt-whiskey
65,Hinch 10 Year Old Sherry Cask Finished Irish Whiskey,£52.75,"Made by Hinch Distilling Co in Ireland, this 10 Year Old whiskey has been matured in American oak casks, before being finished for at least six months in Oloroso sherry casks from Jerez. A rich, sweet whiskey, it has notes of dried fruit, raisings and creamy vanilla throughout the palate.",70cl,43%,None,None,4,1,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/49942/hinch-10-year-old-sherry-cask-finished-irish-whiskey
66,Hinch 5 Year Old Double Wood Irish Whiskey,£42.25,"From Irish bottler Hinch, this 5-year-old Double Wood has been matured in ex-bourbon casks and finished for at least a year in virgin American oak barrels. It is a smooth, sweet whiskey with notes of vanilla, cinnamon and oak spice throughout the palate.",70cl,43%,None,None,no rating,no rating,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/49941/hinch-5-year-old-double-wood-irish-whiskey
67,"The Irishman Single Malt
2022 Relaunch",£45.45,"A triple-distilled Irish single malt whiskey from The Irishman that has been matured in a combination of ex-bourbon and ex-oloroso sherry casks. Aromas of juicy peaches, dried apricot, tropical fruits, orange blossom and vanilla fudge fill the nose, complemented by notes of vanilla, toasted almonds, honey, crunchy granola, digestive biscuits, rich malt and peppery oak spice throughout the palate.",70cl,40%,"['Apple', 'Peach', 'Almond', 'Honey ', 'Malt', 'Biscuits']","['Body', 'Richness', 'Smoke', 'Sweetness']",no rating,no rating,Irish Single Malt Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/65055/the-irishman-single-malt-2022-relaunch
68,The Irishman Caribbean Rum Cask Finish,£52.75,"A fruity, exotic Irish whiskey from The Irishman that was initially matured in American oak ex-bourbon barrels and finished in Caribbean rum barrels from the island of St Lucia. Aromas of apricots, summer fruits, pineapple and ginger fill the nose, complemented by notes of mango, banana, pineapple, figs, ginger, cinnamon, vanilla and white pepper throughout the palate.",70cl,46%,"['Ginger', 'Figs', 'Peach', 'Apricot', 'Banana', 'Mango']","['Body', 'Richness', 'Smoke', 'Sweetness']",no rating,no rating,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/67216/the-irishman-caribbean-rum-cask-finish
69,The Irishman 12 Year Old Single Malt,£63.45,"The Irishman 12 Year Old Single Malt is aged exclusively in first-fill bourbon casks. Limited to 6,000 bottles each year, this is malty and fruity.

Tasting Notes (1)",70cl,43%,"['Vanilla ', 'Black Pepper', 'Grass', 'Pear ', 'Apple', 'Malt']","['Body', 'Richness', 'Smoke', 'Sweetness']",5,2,Single Malt Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/23873/the-irishman-12-year-old-single-malt
70,The Irishman The Harvest,£38.25,"Previously known as Founder's Reserve, The Harvest blended Irish whiskey from The Irishman is made with a combination of 70% single malt and 30% single pot still whiskey and matured in American oak ex-bourbon barrels. Aromas of white pepper, green apples, pears, zesty spices and citrus fill the nose, complemented by notes of ripe fruits, vanilla, butterscotch, toffee, cracked peppercorns, nutmeg and clove throughout the palate and lingering in the finish.",70cl,40%,"['Vanilla ', 'Black Pepper', 'Nutmeg', 'Pear ', 'Apple', 'Butterscotch']","['Body', 'Richness', 'Smoke', 'Sweetness']",no rating,no rating,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/65054/the-irishman-the-harvest
71,"The Irishman Cask Strength
Bot.2021",£97.95,"The 2021 release of The Irishman Cask Strength Irish whiskey has been matured in specially-selected American oak casks, creating aromas of candied oranges and cherries that fill the nose. The palate offers notes of clove, nutmeg, toasted hazelnuts and fresh berries that linger in the finish.",70cl,54.8%,"['Nutmeg', 'Clove', 'Orange ', 'Cherry', 'Hazelnut']","['Body', 'Richness', 'Smoke', 'Sweetness']",no rating,no rating,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/64016/the-irishman-cask-strength-bot2021
72,"The Irishman 2004 Single Malt
 17 Year Old Sherry Cask",£225,"A 17-year-old Irish single malt whiskey from The Irishman, matured in first-fill sherry casks, creating aromas of dark chocolate, dried fruit and honey on the nose, complemented by notes of toasted oak, raisins, sherry, roasted hazelnuts and dark chocolate.",70cl,56%,"['Raisins ', 'Dates', 'Hazelnut', 'Dark Chocolate', 'Oak', 'Dried Fruit']",None,no rating,no rating,Single Malt Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/60683/the-irishman-2004-single-malt-17-year-old-sherry-cask
73,Jameson Black Barrel,£33.45,"A special pot still whiskey-heavy version of Jameson. Black Barrel has lots of first-fill bourbon and sherry casks in the mix, giving it a much richer flavour than regular Jameson, with a strong sherried note.

Tasting Notes (2)",70cl,40%,"['Nutmeg', 'Honey ', 'Malt', 'Oak', 'Dried Fruit']","['Body', 'Richness', 'Smoke', 'Sweetness']",4,64,Irish Blended Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/15235/jameson-black-barrel
74,Jameson Crested,£29.45,"Crested is the new name for Jameson's Crested Ten with an updated look, but the same blend. This is made with older aged Jameson with a high measure of pure pot-still whiskey in the mix, a fair proportion of which has been aged in sherry casks to add spicy sweetness.",70cl,40%,None,None,5,2,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/64661/jameson-crested
75,Jameson Caskmates Stout Edition,£26.45,"Jameson Caskmates sees the reuse of old whiskey barrels. Nothing new in that, but in between, they've been used to age stout from Cork's Franciscan Well brewery. This has added notes of cocoa, coffee and butterscotch to this classic Irish whiskey.

Tasting Notes (1)",70cl,40%,"['Marzipan', 'Milk Chocolate', 'Oak', 'Butterscotch', 'Coffee']",None,4.5,78,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/31012/jameson-caskmates-stout-edition
76,Jameson Caskmates IPA Edition,£25.95,"The second release in Jameson Caskmates range, finished this time in casks that once held zesty IPA. The combination adds further layers of hop fruitiness to the whiskies already fruity character as well as a touch of citrus, floral notes and some balancing bitterness. Perfect for a boilermaker – sip of IPA, sip of Jameson Caskmates, repeat.",70cl,40%,"['Mint', 'Lemon', 'Apple', 'Mango', 'Honeysuckle']","['Body', 'Richness', 'Smoke', 'Sweetness']",4.5,6,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/43734/jameson-caskmates-ipa-edition
77,"Jameson Irish Whiskey
Bar Bottle",£48.95,"A 1.5 litre bottle of the massively popular Jameson Irish Whiskey. The label is placed upside down to be the correct way up when the bottle is placed on a bar optic. One of Jim Murray's favourites, with 95 points in the Whisky Bible 2013.",150cl,40%,None,None,no rating,no rating,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/16723/jameson-irish-whiskey-bar-bottle
78,"Jameson
Bar Bottle",£160,"A mammoth gallon bottle of Jameson, the world's biggest Irish whiskey brand. One of Jim Murray's favourites, with 95 points in the Whisky Bible 2013.",450cl,40%,None,None,no rating,no rating,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/2873/jameson-bar-bottle
79,Jameson,£23.95,"Hugely popular Irish blend, renowned for its affinity with ginger ale. The default springboard into the fascinating world of Irish whiskey, Jameson's quality has improved massively in the last 10-15 years and it's one of Jim Murray's favourites, with 95 points in the Whisky Bible 2013.

Tasting Notes (1)",70cl,40%,"['Sherry', 'Toast', 'Oak']",None,4,87,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/2863/jameson
80,Jameson 2007 Rarest Vintage Reserve,"£1,250",,70cl,46%,None,None,no rating,no rating,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/59540/jameson-2007-rarest-vintage-reserve
81,"Jameson 15 Year Old
Bot.1970s",£550,"An old bottle of Jameson's 15 year old Very Special Old Whisky, bottled at some time in the 1970s.


Please note


 This is an old bottle and the closure may have deteriorated - care should be taken when it is being opened. The item is sold as described and we do not accept liability for the state of the closure.",75cl,40%,None,None,5,1,Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/18978/jameson-15-year-old-bot1970s
82,"Jameson 15 Year Old
Limited Edition",£750,"A very rare Jameson's - this 15yo is pure potstill whiskey, with no grain whiskey content at all. Bottled for the Millennium, this Jameson, considered by many connoisseurs to be the finest produced, is now almost impossible to find.

Tasting Notes (2)",70cl,40%,None,None,5,8,Single Pot Still Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/2867/jameson-15-year-old-limited-edition
83,"Jameson
Bot.1970s",£250,"Please note


This is an old bottle and the closure may have deteriorated - care should be taken when it is being opened. The item is sold as described and we do not accept liability for the state of the closure.",75cl,40%,None,None,no rating,no rating,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/60086/jameson-bot1970s
84,"Jameson 12 Year Old Distillery Reserve
Bot.1990s",£500,"Please note


This is an old bottle and the closure may have deteriorated - care should be taken when it is being opened. The item is sold as described and we do not accept liability for the state of the closure.",70cl,40%,None,None,no rating,no rating,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/31057/jameson-12-year-old-distillery-reserve-bot1990s
85,"John Jameson 10 Year Old
Bot.1950s","£1,000","An old bottle of John Jameson 10 Year Old from the 1950s, this was produced at the old Bow Street distillery before the move to Midleton in 1975.


Please note


This is an old bottle and the closure may have deteriorated - care should be taken when it is being opened. The item is sold as described and we do not accept liability for the state of the closure.",75cl,40%,None,None,no rating,no rating,No subtitle,08/09/2022,https://www.thewhiskyexchange.com/p/29461/john-jameson-10-year-old-bot1950s
87,"JJ Corry Flintlock 15 Year Old
Batch 3",£99.95,"The third batch of JJ Corry The Flintlock is a 15-year-old single malt Irish whiskey created by marrying six hand-picked ex-bourbon casks in a Moscatel sherry butt. This time in a sherry cask has imparted notes of dried fruit, juicy peaches, mellow toasted vanilla, almond and sun-ripened grapes throughout the palate.",50cl,46%,"['Vanilla ', 'Peach', 'Almond', 'Toast', 'Dried Fruit', 'Grape']","['Body', 'Richness', 'Smoke', 'Sweetness']",no rating,no rating,Irish Single Malt Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/65806/jj-corry-flintlock-15-year-old-batch-3
88,JJ Corry Fierfield Barberry,£35.45,"Fierfield combines Irish whiskey from JJ Corry with native Irish botanicals, inspired by traditional Irish remedies. Barberry is rich and autumnal, with hazelnuts and damson notes, tempered by blood orange and garden herbs on the palate.

Tasting Notes (1)",70cl,42%,"['Orange ', 'Hazelnut', 'Mixed Herb', 'Plums']",None,no rating,no rating,Botanical Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/63546/jj-corry-fierfield-barberry
89,JJ Corry Fierfield Birch,£35.45,"In a revival of an old Irish tradition, Fierfield combines Irish whiskey from JJ Corry with native Irish botanicals. Birch is inspired by the warmth of summer, with light jasmine and apricot notes mingling with brioche and tart white grapes.

Tasting Notes (1)",70cl,42%,"['Apricot', 'Mixed Herb']",None,no rating,no rating,Botanical Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/63545/jj-corry-fierfield-birch
90,JJ Corry The Hanson,£49.75,"JJ Corry The Hanson is a blended grain Irish whiskey that was created with cocktails in mind. Matured in ex-bourbon barrels for up to 10 years, aromas of vanilla fudge, toasted coconut, lime zest and pineapple fill the nose, complemented by notes of green apples, rye spice, lemongrass and hints of sea salt throughout the palate.",70cl,46%,"['Vanilla ', 'Apple', 'Salt (powder)', 'Coconut', 'Toffee', 'Lemongrass']","['Body', 'Richness', 'Smoke', 'Sweetness']",no rating,no rating,Irish Grain Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/64425/jj-corry-the-hanson
91,"JJ Corry The Gael
Batch 3",£81.95,"The third edition of JJ Corry The Gael is a fruity, spicy blended Irish whiskey with aromas of bergamot, beeswax, honey and lemon that fill the nose. The palate offers notes of white peach, lime, grapefruit, apples and pink peppercorns that linger in the finish.",70cl,46%,"['White Pepper', 'Apple', 'Peach', 'Grapefruit', 'Lime', 'Honey ']","['Body', 'Richness', 'Smoke', 'Sweetness']",no rating,no rating,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/61682/jj-corry-the-gael-batch-3
92,"John Jameson 15 Year Old
Bot.1970s",£550,"Please note


This is an old bottle and the closure may have deteriorated - care should be taken when it is being opened. The item is sold as described and we do not accept liability for the state of the closure.",75cl,40%,None,None,no rating,no rating,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/61798/john-jameson-15-year-old-bot1970s
93,"John Jameson & Son 7 Year Old
3 Star","£1,250",,75cl,40%,None,None,no rating,no rating,No subtitle,08/09/2022,https://www.thewhiskyexchange.com/p/62103/john-jameson-son-7-year-old-3-star
94,Kilbeggan Traditional Irish Whiskey,£22.45,"Kilbeggan is a blended Irish whiskey made at Cooley distillery in County Louth. Named after the distillery of the same name dating back to 1757, this is an elegant, sweet and malty blend.

Tasting Notes (1)",70cl,40%,None,None,4.5,11,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/31644/kilbeggan-traditional-irish-whiskey
95,"Kilbeggan 1946
34 Year Old","£4,000","A very rare bottle of Locke's Kilbeggan which was distilled in 1946, before production at the distillery ceased. This whiskey is likely one of the last releases of the original distillery.


Please note


This is an old bottle and the closure may have deteriorated - care should be taken when it is being opened. The item is sold as described and we do not accept liability for the state of the closure.",75cl,42.3%,None,None,no rating,no rating,No subtitle,08/09/2022,https://www.thewhiskyexchange.com/p/19387/kilbeggan-1946-34-year-old
96,"Killowen Rum & Raisin Batch 4
6 Year Old",£54.95,"Batch 4 of Killowen Rum & Raisin is a six-year-old Irish single malt whiskey that has been matured in a combination of ex-rum casks and Pedro Ximenez sherry casks, creating layers of fruit and spice. Aromas of freshly-pressed apple juice, warm Christmas pudding and dark molasses fill the nose, complemented by notes of raisins, dried fruit, green apples, tropical fruit, vanilla and coconut throughout the palate.",50cl,55%,"['Vanilla ', 'Raisins ', 'Apple', 'Pineapple', 'Coconut', 'Dried Fruit']","['Body', 'Richness', 'Smoke', 'Sweetness']",no rating,no rating,Single Malt Irish Whisky,08/09/2022,https://www.thewhiskyexchange.com/p/63877/killowen-rum-raisin-batch-4-6-year-old
97,Kinahan's Small Batch Irish Whiskey,£31.95,"Matured for at least six years, Kinahan's Blended Irish Whiskey is a full-flavoured blend with notes of green apple, dark chocolate and mint.",70cl,46%,None,None,5,4,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/34611/kinahans-small-batch-irish-whiskey
98,Kinahan's 10 Year Old Single Malt,£67.95,"Kinahan's 10 Year Old Single Malt has been aged exclusively in bourbon barrels. This is a rich whiskey with notes of tropical fruit, mandarin, pepper and orange tea.",70cl,46%,None,None,4,4,Single Malt Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/34612/kinahans-10-year-old-single-malt
99,Kirker & Greer Shamrock,£39.95,"A triple distilled blended whiskey from Belfast's Kirker & Greer, a marriage of both grain and malt whiskies that have been rested in first-fill bourbon casks. Shamrock has aromas of toffee apples, buttery croissants, brown sugar, marmalade and white flowers. The palate offers notes of caramel milk chocolate, honeyed apples, white peppers and creamy vanilla.",70cl,43%,"['Vanilla ', 'White Pepper', 'Apple', 'Milk Chocolate', 'Toffee', 'Caramel']","['Body', 'Richness', 'Smoke', 'Sweetness']",5,1,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/51640/kirker-greer-shamrock
100,Kirker & Greer 10 Year Old Single Grain,£45.25,"A 10-year-old single grain whiskey from Belfast's Kirker & Greer, matured in first-fill bourbon casks. Aromas of grassy oak, vanilla fudge, banana bread and runny honey fill the nose. The palate offers notes of toffee popcorn, caramelised banana, pineapple, cinnamon and creamy vanilla.",70cl,43%,"['Vanilla ', 'Cinnamon', 'Pineapple', 'Banana', 'Toffee', 'Caramel']","['Body', 'Richness', 'Smoke', 'Sweetness']",5,1,Irish Single Grain Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/51780/kirker-greer-10-year-old-single-grain
101,Lambay Blended Irish Whiskey,£35.75,"A small-batch blend of malted and grain whiskies, matured in bourbon barrels before a final finish in Camus Cognac casks. Aged on the privately-owned Lambay island, this spicy, floral blend is the result of a collaboration between the Baring family which owns the island, and Cyril Camus, scion of the legendary Cognac house.

Tasting Notes (1)",70cl,40%,None,None,5,2,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/47358/lambay-blended-irish-whiskey
102,McConnell's 5 Year Old Irish Whisky,£36.45,"A five-year-old Irish whiskey from McConnell's, inspired by the historical McConnells Blend founded in Belfast in 1776. Matured in American oak casks this spicy, floral whiskey offers notes of peppery oak, honeysuckle, vanilla, milk chocolate, cinnamon and nutmeg throughout the palate.",70cl,42%,"['Vanilla ', 'Black Pepper', 'Nutmeg', 'Cinnamon', 'Milk Chocolate', 'Oak']","['Body', 'Richness', 'Smoke', 'Sweetness']",no rating,no rating,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/56415/mcconnells-5-year-old-irish-whisky
103,Method and Madness Single Pot Still,£68.95,"Ever tried a whisky aged in chestnut wood before? We thought not! This also spends time in bourbon and sherry casks, adding layers of Christmas spices and tropical fruit. Absolutely delicious.

Tasting Notes (1)",70cl,46%,"['Cinnamon', 'Apple', 'Stewed Fruit']",None,5,18,Irish Single Pot Still Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/37938/method-and-madness-single-pot-still
104,Method and Madness Single Grain,£47.95,"Matured in a combination of ex-bourbon barrels and virgin Spanish oak from Galicia, this is a delightfully easy-drinking whiskey loaded with enticing spiciness and juicy fruit.

Tasting Notes (1)",70cl,46%,None,None,4.5,3,Irish Single Grain Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/37936/method-and-madness-single-grain
105,Method and Madness Single Malt,£76.95,"The first Irish single malt from Midleton in a very long time – French Limousin oak adds floral aromatics while bourbon casks provide a toasted, nutty character. One to savour.

Tasting Notes (1)",70cl,46%,"['Cinnamon', 'Peach', 'Melon', 'Honey ', 'Biscuits', 'Honeysuckle']","['Body', 'Richness', 'Smoke', 'Sweetness']",4.5,9,Irish Single Malt Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/37937/method-and-madness-single-malt
106,Method and Madness Wild Cherry Wood Finish,£86.95,"A limited-edition single pot still Irish whiskey from Method and Madness, matured in ex-bourbon and sherry casks, before being finished in wild cherry wood casks. Aromas of chopped ginger, pine needles, coconut and green leaves fill the nose, complemented by notes of garden herbs, black tea, cinnamon, nutmeg, black pepper and toasted hazelnuts on the palate.",70cl,46%,"['Black Pepper', 'Nutmeg', 'Cinnamon', 'Hazelnut', 'Coconut', 'Mixed Herb']","['Body', 'Richness', 'Smoke', 'Sweetness']",5,1,Single Pot Still Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/54205/method-and-madness-wild-cherry-wood-finish
107,Michael Collins 10 Year Old Malt Whiskey,£64.95,"Michael Collins 10 year old Malt Whiskey is a combination of both unpeated and peated barley made at Cooley distillery. The brand is rarely seen over here, being aimed at the American market.",75cl,40%,None,None,5,2,Single Malt Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/21960/michael-collins-10-year-old-malt-whiskey
108,"Midleton Very Rare Vintage Release
Bot.2019",£450,"The 2019 release of Midleton Very Rare Irish whiskey, the 36th edition of this limited-edition range of whiskies, it is a blend of whiskies laid down by Midleton over the last four decades, hand-selected by Master Distiller Brian Nation.

Tasting Notes (1)",70cl,40%,"['Vanilla ', 'Nutmeg', 'Cinnamon', 'Apple', 'Toffee', 'Oak']","['Body', 'Richness', 'Smoke', 'Sweetness']",5,1,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/55537/midleton-very-rare-vintage-release-bot2019
109,"Midleton 1991
24 Year Old TWE Exclusive","£2,000","Aged in a first-fill bourbon cask, this 1991-vintage Midleton was chosen by our customers at a special tasting held at The Whisky Exchange shop in 2015. Distilled in November, this sister cask to our award-winning bottling from 2012 is rich and mouth coating with notes of vanilla, cinnamon and green peppers.

Tasting Notes (4)",70cl,55.2%,"['Vanilla ', 'Cinnamon', 'Apple', 'Grapefruit', 'Mango', 'Oak']","['Body', 'Richness', 'Smoke', 'Sweetness']",5,1,"Single Pot Still Irish Whiskey
Distillery Bottling",08/09/2022,https://www.thewhiskyexchange.com/p/32259/midleton-1991-24-year-old-twe-exclusive
110,"Midleton Very Rare
Bot.1985","£2,000","A rather hard to find bottle of the second release from Midleton's Very Rare series. Each annual release is limited to just 50 casks, each hand selected by the Master Distiller. Every bottle is numbered and signed by the Master distiller.


Please note


This is an old bottle and the closure may have deteriorated - care should be taken when it is being opened. The item is sold as described and we do not accept liability for the state of the closure.",75cl,40%,None,None,no rating,no rating,No subtitle,08/09/2022,https://www.thewhiskyexchange.com/p/19239/midleton-very-rare-bot1985
111,Midleton Barry Crockett Legacy,£199,"Introduced by Irish Distillers in 2011 as part of the relaunched range of pot still whiskies, The Barry Crockett Legacy is named for the Midleton master distiller and combines bourbon cask matured whisky with some from a new American oak barrel. A great entry into the Midleton line-up which has been showered with awards since it first appeared on the horizon.

Tasting Notes (2)",70cl,46%,None,None,5,24,Single Pot Still Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/15233/midleton-barry-crockett-legacy
112,"Midleton Very Rare
Bot.1984 First Release","£2,750","A historic bottling of Midleton Very Rare. This was the very first release and was bottled in 1984. Only a small quantity is released each year and as each bottle carries the vintage, these are becoming ever increasingly collectable.


Please note


This is an old bottle and the closure may have deteriorated - care should be taken when it is being opened. The item is sold as described and we do not accept liability for the state of the closure.",75cl,40%,None,None,no rating,no rating,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/5538/midleton-very-rare-bot1984-first-release
113,"Irish Single Malt 1989
29 Year Old Daily Dram",£399,"This Irish single malt whiskey was made in 1989 at a mystery distillery and bottled 29 years later by Belgian bottler The Nectar for its Daily Drams series in 2018. A sweet, malty whiskey it has notes of caramel, cinnamon and citrus throughout the palate.",70cl,48.6%,None,None,no rating,no rating,"Irish Single Malt Whisky
The Nectar",08/09/2022,https://www.thewhiskyexchange.com/p/45752/irish-single-malt-1989-29-year-old-daily-dram
114,"Irish Single Malt XO Part II
Nectar of the Daily Drams",£160,"Distilled at an unspecified location in Ireland, this is a deliciously fruity, malty whiskey that was bottled for the Belgian organisation The Nectar. Notes of banana, pears, rich malt, ginger and orange blossom.",70cl,49.3%,None,None,no rating,no rating,"Irish Single Malt Whiskey
The Nectar",08/09/2022,https://www.thewhiskyexchange.com/p/37867/irish-single-malt-xo-part-ii-nectar-of-the-daily-drams
115,"Old Bushmills 9 Year Old
Bot.1970s",£399,"Please note


This is an old bottle and the closure may have deteriorated - care should be taken when it is being opened. The item is sold as described and we do not accept liability for the state of the closure.",70cl,43%,None,None,no rating,no rating,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/60628/old-bushmills-9-year-old-bot1970s
116,Paddy,£24.75,"A well-known blend, reputedly named after a gregarious travelling sales rep for the distillery who made sure that everyone who crossed his path tried a glass.",70cl,40%,None,None,5,57,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/2900/paddy
117,"Paddy Irish Whiskey
Bot.1960s",£750,"Please note


This is an old bottle and the closure may have deteriorated - care should be taken when it is being opened. The item is sold as described and we do not accept liability for the state of the closure.",75cl,40%,None,None,no rating,no rating,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/61151/paddy-irish-whiskey-bot1960s
118,"Paddy Old Irish Whisky
Bot.1970s",£199,"A very old bottle of the famous Paddy blend, probably bottled sometime in the 1970s. Interestingly, this was bottled when Paddy still had an age statement (10 years old) and before Irish Distillers began using an 'e' in ‘whiskey’ for this brand.


Please note


This is an old bottle and the closure may have deteriorated - care should be taken when it is being opened. The item is sold as described and we do not accept liability for the state of the closure.",75cl,40%,None,None,no rating,no rating,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/21900/paddy-old-irish-whisky-bot1970s
119,"Paddy Irish Whiskey
Bot.1960s",£600,"An old bottle of Paddy Irish Whisky (with no E). We estimate that this was bottled sometime in the 1960s.


Please note


This is an old bottle and the closure may have deteriorated - care should be taken when it is being opened. The item is sold as described and we do not accept liability for the state of the closure.",75cl,43%,None,None,5,2,Blended Irish Whiskey,08/09/2022,https://www.thewhiskyexchange.com/p/17301/paddy-irish-whiskey-bot1960s
